Rank,Team,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS_AdjEM,Games_Won,Year
1,Gonzaga 1,37-2,32.05,118.4,86.3,70.1,0.02,2.99,106.2,103.3,1.01,5,2017
2,Villanova 1,32-4,29.88,122.4,92.5,64.1,0.01,9.33,109.8,100.5,3.55,1,2017
3,North Carolina 1,33-7,28.22,120.7,92.5,71.3,0.037,12.49,112,99.5,3.87,6,2017
4,Kentucky 2,32-6,27.72,119.1,91.4,72,0.006,10.98,110.5,99.5,3.74,3,2017
5,Florida 4,27-9,27.5,116.9,89.5,69,-0.041,12.46,110.3,97.8,8.19,3,2017
6,Kansas 1,31-5,27.45,121.9,94.5,70.2,0.067,12.43,111.2,98.8,2.39,3,2017
7,West Virginia 4,28-9,27.17,116.5,89.4,69.9,-0.043,10.84,110.1,99.2,-7.97,2,2017
8,Wichita St. 10,31-5,26.14,118.7,92.6,68,-0.021,1.5,105,103.5,-0.32,1,2017
9,Louisville 2,25-9,25.51,117.2,91.7,67.9,-0.023,11.14,111.6,100.5,4.2,1,2017
10,Oregon 3,33-6,25.02,118.2,93.2,67,0.034,8.05,109.2,101.2,0.51,4,2017
11,SMU 6,30-5,24.73,119.8,95,63.5,0.003,3.25,105.3,102.1,-0.92,0,2017
12,Virginia 5,23-11,24.29,112.2,88,59.2,-0.03,11.68,111.5,99.8,2.29,1,2017
13,Baylor 3,27-8,24.23,117.1,92.9,63.7,0.023,13.08,111.7,98.6,1.67,2,2017
14,Duke 2,28-9,24.17,121,96.8,68.3,0.014,11.43,111,99.6,0.03,1,2017
15,Saint Mary's 7,29-5,23.67,118.7,95,60.2,0.03,0.41,104.3,103.9,-4.13,1,2017
16,UCLA 3,31-5,23.63,124,100.4,72.6,0.021,5.17,108,102.8,-4.66,2,2017
17,Iowa St. 5,24-11,23.45,119.7,96.3,68.4,-0.019,14.05,112.6,98.6,-0.74,1,2017
18,Arizona 2,32-5,23.31,118.4,95.1,66,0.046,7.13,108.7,101.5,1.69,2,2017
19,Purdue 4,27-8,23.12,117,93.9,69.1,0.016,9,109.6,100.6,-2.38,2,2017
20,Michigan 7,26-12,23.05,122.3,99.2,63.1,-0.025,10.76,110.3,99.5,-0.53,2,2017
21,Wisconsin 8,27-10,22.99,115.1,92.1,63.4,-0.003,10,110.6,100.6,-1.29,2,2017
22,Oklahoma St. 10,20-13,22.48,126,103.5,70.4,-0.071,14.42,112,97.6,3.07,0,2017
23,Cincinnati 6,30-6,22.18,114.9,92.8,63.5,0.026,4.17,107.1,103,-0.47,1,2017
24,South Carolina 7,26-11,20.8,108.9,88.1,68.6,-0.005,10.63,110.2,99.5,1.93,4,2017
25,Butler 4,25-9,20.76,117.7,97,65.9,0.002,10.81,110.8,100,5.12,2,2017
26,Florida St. 3,26-9,20.06,115.5,95.5,71.3,0.039,8.82,110.6,101.8,-3.95,1,2017
27,Notre Dame 5,26-10,19.74,118.1,98.4,67,0.024,10.24,110.1,99.8,-3.85,1,2017
28,Creighton 6,25-10,18.83,115.3,96.5,71.2,0.004,8.97,110.3,101.3,-1.24,0,2017
30,Kansas St. 11,21-14,17.44,113,95.6,66.2,-0.029,11.56,110.6,99,-5.31,0,2017
31,Xavier 11,24-14,16.7,115.7,99,67.2,0.044,11.73,111.2,99.5,5.32,3,2017
32,Marquette 10,19-13,16.58,120.8,104.2,70.1,-0.058,9.03,109.1,100.1,-2.16,0,2017
33,Vanderbilt 9,19-16,16.53,112.4,95.9,65.8,-0.048,11.43,110.1,98.7,6.3,0,2017
34,Rhode Island 11,25-10,16.26,111.5,95.2,66.4,-0.033,4.27,106.8,102.5,1.62,1,2017
35,Arkansas 8,26-10,16.25,116.1,99.8,69.7,0.086,8.37,108.6,100.2,-1.55,1,2017
